"Codice_Prodotto";"Codice_EAN";"Quantita_Disponibile";"Quantita_in_Arrivo";"Data_Arrivo";"Codice_Fornitore";"Codice_Cliente"
"6220834030";"8020252167285";"0";"0";"";"";""
"6220834029";"8020252167308";"0";"0";"";"";""
"6220834028";"8020252167261";"0";"0";"";"";""
"6220834027";"8020252176713";"0";"0";"";"";""
"6220834026";"8020252199088";"0";"0";"";"";""
"6220834025";"8020252199057";"0";"0";"";"";""
"6220834024";"8020252170407";"0";"0";"";"";""
"6220834023";"8020252167902";"0";"0";"";"";""
"6220834022";"8020252167889";"0";"0";"";"";""
"6217834014";"8020252208049";"0";"0";"";"";""
"6217834012";"8020252188228";"0";"0";"";"";""
"6217834011";"8020252188198";"0";"0";"";"";""
"6217834010";"8020252188167";"0";"0";"";"";""
"6217834009";"8020252170315";"0";"0";"";"";""
"6216834386";"8020252195080";"0";"0";"";"";""
"6216834284";"8020252091627";"0";"0";"";"";""
"6216834283";"8020252091603";"0";"0";"";"";""
"6216834282";"8020252091580";"0";"0";"";"";""
"6216834281";"8020252091566";"0";"0";"";"";""
"6216834274";"8020252087477";"0";"0";"";"";""
"6216834273";"8020252087415";"0";"0";"";"";""
"6216834266";"8020252081109";"0";"0";"";"";""
"6216834265";"8020252081017";"0";"0";"";"";""
"6216834264";"8020252081079";"0";"0";"";"";""
"6216834263";"8020252081048";"0";"0";"";"";""
"6216834262";"8020252080980";"0";"0";"";"";""
"6216834261";"8020252076884";"0";"0";"";"";""
"6216834260";"8020252077034";"0";"0";"";"";""
"6216834259";"8020252076853";"0";"0";"";"";""
"6216834258";"8020252076914";"0";"0";"";"";""
"6216834257";"8020252077003";"0";"0";"";"";""
"6216834256";"8020252087446";"0";"0";"";"";""
"6216834254";"8020252081130";"0";"0";"";"";""
"6216834252";"8020252076730";"0";"0";"";"";""
"6216834251";"8020252076716";"0";"0";"";"";""
"6216834317";"8020252118317";"0";"0";"";"";""
"6216834314";"8020252085930";"0";"0";"";"";""
"6216834313";"8020252108295";"0";"0";"";"";""
"6216834312";"8020252081918";"0";"0";"";"";""
"6216834309";"8020252092235";"0";"0";"";"";""
"6216834308";"8020252087668";"0";"0";"";"";""
"6216834307";"8020252062252";"0";"0";"";"";""
"6216834306";"8020252062238";"0";"0";"";"";""
"6216834296";"8020252092211";"0";"0";"";"";""
"6216834295";"8020252092198";"0";"0";"";"";""
"6216834294";"8020252092174";"0";"0";"";"";""
"6216834293";"8020252092150";"0";"0";"";"";""
"6216834292";"8020252092136";"0";"0";"";"";""
"6216834291";"8020252092112";"0";"0";"";"";""
"6216834290";"8020252092099";"0";"0";"";"";""
"6216834289";"8020252091740";"0";"0";"";"";""
"6216834288";"8020252091719";"0";"0";"";"";""
"6216834287";"8020252091689";"0";"0";"";"";""
"6216834286";"8020252091665";"0";"0";"";"";""
"6216834285";"8020252091641";"0";"0";"";"";""
"6237834454";"8020252205185";"0";"0";"";"";""
"6237834453";"8020252198418";"0";"0";"";"";""
"6237834452";"8020252192607";"0";"0";"";"";""
"6237834451";"8020252192621";"0";"0";"";"";""
"6237834450";"8020252192560";"0";"0";"";"";""
"6237834449";"8020252192584";"0";"0";"";"";""
"6237834448";"8020252200548";"0";"0";"";"";""
"6237834447";"8020252199231";"0";"0";"";"";""
"6237834446";"8020252199200";"0";"0";"";"";""
"6237834445";"8020252198814";"0";"0";"";"";""
"6237834444";"8020252198784";"0";"0";"";"";""
"6237834443";"8020252198753";"0";"0";"";"";""
"6237834440";"8020252198500";"0";"0";"";"";""
"6237834333";"8020252111516";"0";"0";"";"";""
"6237834332";"8020252111387";"0";"0";"";"";""
"6237834329";"8020252110915";"0";"0";"";"";""
"6237834327";"8020252110397";"0";"0";"";"";""
"6237834326";"8020252107113";"0";"0";"";"";""
"6237834325";"8020252108196";"0";"0";"";"";""
"6237834324";"8020252106802";"0";"0";"";"";""
"6229834299";"8020252199910";"0";"0";"";"";""
"6229834298";"8020252199880";"0";"0";"";"";""
"6229834297";"8020252196315";"0";"0";"";"";""
"6229834296";"8020252199859";"0";"0";"";"";""
"6229834295";"8020252199828";"0";"0";"";"";""
"6229834294";"8020252199798";"0";"0";"";"";""
"6229834293";"8020252199767";"0";"0";"";"";""
"6229834292";"8020252199736";"0";"0";"";"";""
"6229834291";"8020252199705";"0";"0";"";"";""
"6229834290";"8020252199675";"0";"0";"";"";""
"6229834289";"8020252199644";"0";"0";"";"";""
"6229834288";"8020252199613";"0";"0";"";"";""
"6229834287";"8020252199583";"0";"0";"";"";""
"6229834286";"8020252198029";"0";"0";"";"";""
"6229834285";"8020252197992";"0";"0";"";"";""
"6229834284";"8020252197961";"0";"0";"";"";""
"6229834283";"8020252197930";"0";"0";"";"";""
"6229834282";"8020252195059";"0";"0";"";"";""
"6229834281";"8020252194991";"0";"0";"";"";""
"6237834323";"8020252108141";"0";"0";"";"";""
"6237834322";"8020252108110";"0";"0";"";"";""
"6237834321";"8020252108103";"0";"0";"";"";""
"6237834320";"8020252105607";"0";"0";"";"";""
"6237834319";"8020252106017";"0";"0";"";"";""
"6237834318";"8020252105454";"0";"0";"";"";""
"6237834317";"8020252105058";"0";"0";"";"";""
"6237834314";"8020252105126";"0";"0";"";"";""
"6237834313";"8020252102941";"0";"0";"";"";""
"6237834312";"8020252103917";"0";"0";"";"";""
"6237834311";"8020252103887";"0";"0";"";"";""
"6237834310";"8020252103764";"0";"0";"";"";""
"6237834309";"8020252103795";"0";"0";"";"";""
"6237834306";"8020252106772";"0";"0";"";"";""
"6237834414";"8020252170803";"0";"0";"";"";""
"6237834413";"8020252164949";"0";"0";"";"";""
"6237834412";"8020252118591";"0";"0";"";"";""
"6237834411";"8020252168237";"0";"0";"";"";""
"6237834410";"8020252112469";"0";"0";"";"";""
"6237834409";"8020252112445";"0";"0";"";"";""
"6237834408";"8020252112421";"0";"0";"";"";""
"6237834407";"8020252112407";"0";"0";"";"";""
"6237834406";"8020252167018";"0";"0";"";"";""
"6237834405";"8020252166981";"0";"0";"";"";""
"6237834404";"8020252166950";"0";"0";"";"";""
"6237834403";"8020252166905";"0";"0";"";"";""
"6237834402";"8020252166875";"0";"0";"";"";""
"6237834401";"8020252166752";"0";"0";"";"";""
"6237834400";"8020252166721";"0";"0";"";"";""
"6237834399";"8020252166691";"0";"0";"";"";""
"6237834398";"8020252166660";"0";"0";"";"";""
"6237834358";"8020252108264";"0";"0";"";"";""
"6237834357";"8020252107182";"0";"0";"";"";""
"6237834356";"8020252062177";"0";"0";"";"";""
"6229834319";"8020252209176";"0";"0";"";"";""
"6229834318";"8020252209053";"0";"0";"";"";""
"6229834317";"8020252209022";"0";"0";"";"";""
"6229834316";"8020252208780";"0";"0";"";"";""
"6229834315";"8020252208759";"0";"0";"";"";""
"6229834314";"8020252208728";"0";"0";"";"";""
"6229834313";"8020252208698";"0";"0";"";"";""
"6229834251";"8020252179738";"0";"0";"";"";""
"6229834250";"8020252176881";"0";"0";"";"";""
"6229834249";"8020252176843";"0";"0";"";"";""
"6229834248";"8020252176829";"0";"0";"";"";""
"6229834247";"8020252176805";"0";"0";"";"";""
"6229834246";"8020252176683";"0";"0";"";"";""
"6229834245";"8020252176652";"0";"0";"";"";""
"6229834244";"8020252176621";"0";"0";"";"";""
"6229834243";"8020252176591";"0";"0";"";"";""
"6229834242";"8020252174573";"0";"0";"";"";""
"6229834312";"8020252202313";"0";"0";"";"";""
"6229834311";"8020252202283";"0";"0";"";"";""
"6229834310";"8020252169418";"0";"0";"";"";""
"6229834309";"8020252200210";"0";"0";"";"";""
"6229834308";"8020252200180";"0";"0";"";"";""
"6229834307";"8020252200159";"0";"0";"";"";""
"6229834306";"8020252200128";"0";"0";"";"";""
"6229834305";"8020252200098";"0";"0";"";"";""
"6229834304";"8020252200067";"0";"0";"";"";""
"6229834303";"8020252200036";"0";"0";"";"";""
"6229834302";"8020252200005";"0";"0";"";"";""
"6229834301";"8020252199972";"0";"0";"";"";""
"6229834300";"8020252199941";"0";"0";"";"";""
"6237834305";"8020252106253";"0";"0";"";"";""
"6237834294";"8020252094000";"0";"0";"";"";""
"6237834292";"8020252093737";"0";"0";"";"";""
"6237834290";"8020252087118";"0";"0";"";"";""
"6237834284";"8020252081178";"0";"0";"";"";""
"6237834280";"8020252080836";"0";"0";"";"";""
"6237834279";"8020252080805";"0";"0";"";"";""
"6237834278";"8020252080775";"0";"0";"";"";""
"6237834277";"8020252080744";"0";"0";"";"";""
"6237834276";"8020252080256";"0";"0";"";"";""
"6237834275";"8020252080102";"0";"0";"";"";""
"6237834274";"8020252080072";"0";"0";"";"";""
"6237834273";"8020252078758";"0";"0";"";"";""
"6237834272";"8020252078710";"0";"0";"";"";""
"6237834271";"8020252078680";"0";"0";"";"";""
"6237834270";"8020252078628";"0";"0";"";"";""
"6216834385";"8020252198388";"0";"0";"";"";""
"6216834384";"8020252200418";"0";"0";"";"";""
"6216834383";"8020252200388";"0";"0";"";"";""
"6216834382";"8020252195295";"0";"0";"";"";""
"6216834381";"8020252200470";"0";"0";"";"";""
"6216834380";"8020252200449";"0";"0";"";"";""
"6216834379";"8020252199552";"0";"0";"";"";""
"6216834378";"8020252199521";"0";"0";"";"";""
"6216834359";"8020252196346";"0";"0";"";"";""
"6216834358";"8020252182349";"0";"0";"";"";""
"6216834357";"8020252091474";"0";"0";"";"";""
"6216834356";"8020252089297";"3";"0";"";"";""
"6216834354";"8020252174788";"0";"0";"";"";""
"6216834353";"8020252174818";"0";"0";"";"";""
"6216834352";"8020252174757";"0";"0";"";"";""
"6216834351";"8020252118515";"0";"0";"";"";""
"6216834350";"8020252118478";"0";"0";"";"";""
"6216834349";"8020252118454";"0";"0";"";"";""
"6216834348";"8020252161245";"0";"0";"";"";""
"6216834347";"8020252118331";"0";"0";"";"";""
"6216834346";"8020252161207";"0";"0";"";"";""
"6229834280";"8020252194960";"0";"0";"";"";""
"6229834279";"8020252194908";"0";"0";"";"";""
"6229834278";"8020252169470";"0";"0";"";"";""
"6229834276";"8020252169432";"0";"0";"";"";""
"6229834275";"8020252185838";"0";"0";"";"";""
"6229834274";"8020252185647";"0";"0";"";"";""
"6229834273";"8020252185678";"0";"0";"";"";""
"6229834272";"8020252185869";"0";"0";"";"";""
"6229834271";"8020252185258";"0";"0";"";"";""
"6229834270";"8020252185227";"0";"0";"";"";""
"6229834269";"8020252185197";"0";"0";"";"";""
"6229834268";"8020252185166";"0";"0";"";"";""
"6229834267";"8020252182721";"0";"0";"";"";""
"6229834266";"8020252182691";"0";"0";"";"";""
"6229834265";"8020252185289";"0";"0";"";"";""
"6229834264";"8020252182783";"0";"0";"";"";""
"6229834263";"8020252182752";"0";"0";"";"";""
"6229834262";"8020252183612";"0";"0";"";"";""
"6229834261";"8020252185371";"0";"0";"";"";""
"6216834343";"8020252174634";"0";"0";"";"";""
"6216834342";"8020252177192";"0";"0";"";"";""
"6216834341";"8020252110731";"0";"0";"";"";""
"6216834340";"8020252173743";"0";"0";"";"";""
"6216834339";"8020252173729";"0";"0";"";"";""
"6216834338";"8020252175037";"0";"0";"";"";""
"6216834335";"8020252172708";"0";"0";"";"";""
"6216834332";"8020252118881";"0";"0";"";"";""
"6216834331";"8020252087866";"0";"0";"";"";""
"6216834330";"8020252118850";"0";"0";"";"";""
"6216834329";"8020252108325";"0";"0";"";"";""
"6216834328";"8020252164086";"0";"0";"";"";""
"6216834327";"8020252164055";"0";"0";"";"";""
"6216834323";"8020252162471";"0";"0";"";"";""
"6216834322";"8020252162440";"0";"0";"";"";""
"6216834321";"8020252162242";"0";"0";"";"";""
"6216834320";"8020252162273";"0";"0";"";"";""
"6216834319";"8020252162204";"0";"0";"";"";""
"6216834318";"8020252118430";"0";"0";"";"";""
"6237834269";"8020252078659";"0";"0";"";"";""
"6237834268";"8020252078598";"0";"0";"";"";""
"6237834267";"8020252083134";"0";"0";"";"";""
"6237834266";"8020252083103";"0";"0";"";"";""
"6231834001";"8020252118911";"0";"0";"";"";""
"6229834337";"8020252210141";"0";"0";"";"";""
"6229834336";"8020252210035";"0";"0";"";"";""
"6229834335";"8020252210004";"0";"0";"";"";""
"6229834334";"8020252209947";"0";"0";"";"";""
"6229834333";"8020252209916";"0";"0";"";"";""
