Codice_Prodotto;Codice_EAN;Prezzo_Acquisto;Prezzo_Vendita;Prezzo_Listino;Spese_Consegna;Spese_Consegna_Incluse;Attivo;Codice_Fornitore;Codice_Cliente;Descrizione_Breve;Descrizione_Estesa;Data_Lancio;Classificazione;Descrizione_Classificazione;Codice_Marchio;Descrizione_Marchio;Iva;Note;Link_Scheda_Energetica;Link_Video;Data_Fuori_Produzione;Raee;Raee Annegata;Siae;Siae Annegata
"9033318003";"8018080477126";"9.25";"16.95";"16.95";"0";"0";"1";"";"";"CUSTODIA GOMMA CHROMA GALAXY A35 5G NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318001";"8018080477102";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA A LIBRO GALAXY A35 5G NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318064";"8018080482717";"16.30";"29.95";"29.95";"0";"0";"1";"";"";"CUSTODIA GLOSS MAG IPHONE 16 NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318063";"8018080482700";"16.30";"29.95";"29.95";"0";"0";"1";"";"";"CUSTODIA GLOSS MAG IPHONE 16 TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318060";"8018080482595";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA SENSATION IPHONE 16 ROSA";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318059";"8018080482588";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA SENSATION IPHONE 16 NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318058";"8018080482571";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA SENSATION IPHONE 16 PLUS NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318117";"8806095620121";"37.30";"54.90";"54.90";"0";"0";"1";"";"";"CUSTODIA B6 SILICONE WITH RING BLUE";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318116";"8806095620114";"37.30";"54.90";"54.90";"0";"0";"1";"";"";"CUSTODIA B6 SILICONE WITH RING MINT";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318115";"8806095620091";"37.30";"54.90";"54.90";"0";"0";"1";"";"";"CUSTODIA B6 SILICONE WITH RING YELLOW";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
